,place_name,place_ID,latitude,Longitude,plus_code,rating,user_ratings_total,business_status,types,address,region,population,num_bus_stop,num_mall
0,NTU North Spine Plaza,ChIJ-f-vxgoP2jERP42l8kUV8DE,1.347064,103.6808217,8MWJ+R8 Singapore,4.3,1070,OPERATIONAL,shopping_mall,"76 Nanyang Dr, Singapore 637331",Western Water Catchment,,18,0
1,Orchard Towers,ChIJ-z0z0IwZ2jERXjOtNGbV0-0,1.3072293,103.8293323,8R4H+VP Singapore,3.9,2292,OPERATIONAL,shopping_mall,"400 Orchard Rd, Singapore 238875",Orchard,920,7,13
2,Quayside Isle,ChIJ01fgzLUe2jERxlhvImcbZ7g,1.2476808,103.8420723,6RXR+3R Singapore,4.3,568,OPERATIONAL,shopping_mall,"31 Ocean Way, Singapore 098375",Southern Islands,1480,1,0
3,Coronation Shopping Plaza,ChIJ08duKAYa2jER47-5U4ZdgAo,1.3239187,103.8099886,8RF5+HX Singapore,3.6,202,OPERATIONAL,shopping_mall,"587 Bukit Timah Rd, Singapore 269707",Bukit Timah,74470,7,4
4,Hougang 1,ChIJ0ZkQLVsW2jERY9DgZurtpl8,1.3760614,103.8791547,9VGH+CM Singapore,3.9,2183,OPERATIONAL,shopping_mall,"1 Hougang Street 91, Singapore 538692",Hougang,222310,0,0
5,Greenwich V,ChIJ1-hkimEW2jERyc5cKHfC3Sw,1.3873705,103.8694069,9VP9+WQ Singapore,3.8,1304,OPERATIONAL,shopping_mall,"1 Seletar Rd, Singapore 807011",Serangoon,120670,0,0
6,Clarke Quay The Central,ChIJ18C-mwoZ2jERlpSawcucgk0,1.2890252,103.8466098,7RQW+JJ Singapore,4.2,8552,OPERATIONAL,shopping_mall,"6 Eu Tong Sen St, Singapore 059817",Singapore River,2720,18,8
7,Sime Darby Centre,ChIJ1S4qfY8Q2jERgb68gskzUbo,1.3366443,103.7835965,8QPM+MC Singapore,3.7,437,OPERATIONAL,shopping_mall,"896 Dunearn Rd, Singapore 589472",Bukit Timah,74470,0,1
8,Heartland Mall,ChIJ1V9s-bMX2jERQL59mMdHw7I,1.359469,103.8851289,9V5P+Q3 Singapore,3.8,4438,OPERATIONAL,shopping_mall,"205 Hougang Street 21, Singapore 530204",Hougang,222310,10,0
9,PoMo,ChIJ1ZAIkrwZ2jERxtZGC1JnrHM,1.3001917,103.84922,8R2X+3M Singapore,3.8,1285,OPERATIONAL,shopping_mall,"1 Selegie Rd, Singapore 188306",Rochor,14590,13,9
10,LR boulangerie,ChIJ1ZYJOiAZ2jER1mvQqHstQII,1.2931776,103.8271938,7RVG+7V Singapore,4.3,12,OPERATIONAL,shopping_mall,"491 River Valley Rd, #01-02 valley point shopping center, Singapore 248371",Tanglin,,4,1
11,UE Square,ChIJ1aJWIZ8Z2jERTCHI96-9fNQ,1.2921679,103.8426697,7RRV+V3 Singapore,3.8,1077,OPERATIONAL,shopping_mall,"81 Clemenceau Ave, Singapore 239917",Singapore River,2720,19,1
12,Suntec City,ChIJ20X__K4Z2jERRE8GRs-d8HE,1.29503,103.8583026,7VW5+28 Singapore,4.4,19934,OPERATIONAL,shopping_mall,"3 Temasek Blvd, Singapore 038983",Downtown Core,3720,18,3
13,Parkway Parade,ChIJ2WUXmnEY2jERoGOSkJVgnrY,1.3013366,103.9052333,8W24+G3 Singapore,4.3,6234,OPERATIONAL,shopping_mall,"80 Marine Parade Rd, Singapore 449269",Marine Parade,,6,1
14,Tampines Hub,ChIJ2Y1DYBI92jERlFUKKSznJrY,1.3531079,103.9403612,9W3R+64 Singapore,4.6,227,OPERATIONAL,shopping_mall,"1 Tampines Walk, Singapore 528523",Tampines,261230,0,5
15,Djitsun Mall,ChIJ2fIgLeYW2jERNAscVQ4Y-Do,1.3728179,103.8476889,9RFX+43 Singapore,3.5,876,OPERATIONAL,shopping_mall,"5 Ang Mo Kio Central 2, Singapore 569663",Ang Mo Kio,174770,4,3
16,City Plaza,ChIJ34RyshcY2jERneNcLqsPK3o,1.3147644,103.893408,8V7V+W9 Singapore,3.8,1880,OPERATIONAL,shopping_mall,"810 Geylang Rd, Singapore 409286",Geylang,116960,10,6
17,Sultan Plaza,ChIJ38pFVLEZ2jER0bD640NeLqs,1.3030927,103.8619342,8V36+6Q Singapore,3.6,691,OPERATIONAL,shopping_mall,"100 Jln Sultan, Singapore 199001",Kallang,101210,11,7
18,N4 Neighbourhood Centre,ChIJ3ShIxCc92jER20y0Rvqw-vc,1.3605239,103.9531662,9X63+67 Singapore,4.2,137,OPERATIONAL,shopping_mall,"Tampines Street 43, Singapore 520477",Tampines,261230,2,0
19,Second Avenue Junction,ChIJ3Wd2xqEQ2jERF5qZP76srqY,1.3298712,103.7996164,8QHX+WR Singapore,3.7,27,OPERATIONAL,shopping_mall,"Bukit Timah Rd, 733, Singapore 269748",Bukit Timah,74470,10,0
20,HillV2,ChIJ3Zrkj1IQ2jER7alm3mrpVPQ,1.363354,103.7643204,9Q77+8P Singapore,4,1719,OPERATIONAL,shopping_mall,"4 Hillview Rise, Singapore 667979",Bukit Batok,139270,11,0
21,Bluestarmobiles.com,ChIJ3bgnoTE92jER9pU0y9B6pmc,1.3318464,103.9463496,8WJW+PG Singapore,3.8,745,OPERATIONAL,shopping_mall,"430 Upper Changi Rd, #01-50 East Village, Singapore 487048",Bedok,289750,0,1
22,Guillemard Village,ChIJ4VaNqjkY2jER6ablrvwx_As,1.3099872,103.8823103,8V5J+XW Singapore,4.3,21,OPERATIONAL,shopping_mall,"102 Guillemard Rd, Singapore 399719",Geylang,116960,0,0
23,Takashimaya S.C.,ChIJ4aA30ZYZ2jERINQYq_MPMh0,1.3027299,103.834317,8R3M+3P Singapore,4.1,33,OPERATIONAL,shopping_mall,"391 Orchard Rd, Singapore 238801",Orchard,920,19,20
24,Concorde Shopping Centre,ChIJ4bL843cZ2jERhSL8S89qqu4,1.2892149,103.8343992,7RQM+MQ Singapore,3.9,544,OPERATIONAL,shopping_mall,"317 Outram Rd, Singapore 169075",Bukit Merah,,9,1
25,Snsexpress Shop,ChIJ4xNBVeoB2jERKa-WgAPBBho,1.2462335,103.6146199,6JW7+FR Singapore,4.3,9,OPERATIONAL,shopping_mall,"90 Tuas S Blvd, Singapore 637052",Tuas,,0,0
26,Sembawang Shopping Centre,ChIJ5-zrBoEU2jERhLnuZ0bgvUw,1.4419459,103.8250936,CRRG+Q2 Singapore,4,3789,OPERATIONAL,shopping_mall,"604 Sembawang Rd, Singapore 758459",Sembawang,76530,3,0
27,Sree Beauty & Bridal Services,ChIJ58WuUbwP2jERmHrSoc33hp4,1.3488912,103.6976302,8MXX+H3 Singapore,3.9,1170,OPERATIONAL,shopping_mall,"Gek Poh shopping centre Blk, 762 Jurong West Street 75, spore 640762",Jurong West,272660,9,0
28,NEWest,ChIJ58zgd34b2jERDEawXFNpWOE,1.3164853,103.7573965,8Q84+HX Singapore,3.7,121,OPERATIONAL,shopping_mall,"1 W Coast Dr, Newest, Singapore 128021",Clementi,91630,18,0
29,HarbourFront Centre,ChIJ5Qx1aOIb2jERwQsRlRdHaWM,1.2645769,103.8203787,7R7C+R5 Singapore,4.3,5243,OPERATIONAL,shopping_mall,"1 Maritime Square, Singapore 099253",Bukit Merah,,0,3
30,Toa Payoh Mall,ChIJ5Rryfx0X2jERqvS-qax1mgE,1.3327308,103.8492213,8RMX+3M Singapore,4.1,3199,OPERATIONAL,shopping_mall,"185 Toa Payoh Central, Singapore 310185",Toa Payoh,124940,9,0
31,Midpoint Orchard,ChIJ5SdSMZEZ2jERl25VbE5H6UE,1.3015694,103.8386083,8R2Q+JC Singapore,3.8,586,OPERATIONAL,shopping_mall,"220 Orchard Rd, Singapore 238852",Orchard,920,18,18
32,Waterloo Centre,ChIJ5b9USLsZ2jERLHiICrHNYfY,1.2988808,103.8520151,7VX2+HR Singapore,3.8,298,OPERATIONAL,shopping_mall,"261 Waterloo St, Singapore 180261",Rochor,14590,12,14
33,Pioneer Mall,ChIJ67mVKpcP2jERmahUvC-ZIwc,1.3421413,103.6974182,8MRW+VX Singapore,3.9,1704,OPERATIONAL,shopping_mall,"638 Jurong West Street 61, 61, Singapore 640638",Jurong West,272660,22,0
